                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.4165,                 0.7921,                 1.6446,                0.80504,                0.84756,                0.87037,                0.42602,                 1.5951,                0.79675,                 1.9674,               0.005644,               0.005644,               0.005644
                     90,                 1.3875,                0.80127,                 1.6366,                0.82609,                0.87811,                0.91688,                0.44792,                  1.602,                0.77265,                 1.9599,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.4025,                0.79509,                  1.644,                0.86436,                0.83253,                0.88903,                0.43272,                  1.584,                0.79018,                 1.9713,               0.005545,               0.005545,               0.005545
                     92,                 1.3839,                0.80193,                 1.6552,                0.85812,                0.84295,                0.90502,                0.45424,                 1.5866,                0.76905,                 1.9589,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.4122,                0.79733,                 1.6357,                0.85458,                0.79324,                0.87039,                0.42551,                  1.628,                0.81566,                 1.9759,               0.005446,               0.005446,               0.005446
                     94,                 1.4019,                0.78451,                 1.6372,                0.89121,                0.85176,                0.90015,                0.45103,                 1.5974,                0.76051,                 1.9673,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.3776,                0.77944,                 1.6213,                0.81363,                0.85909,                0.87279,                0.41978,                   1.64,                 0.7721,                 2.0076,               0.005347,               0.005347,               0.005347
                     96,                 1.4056,                0.81022,                 1.6496,                0.69486,                0.78019,                0.71748,                 0.3592,                 1.6664,                0.93356,                  2.053,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.3843,                0.77338,                 1.6309,                0.80952,                0.84163,                0.86621,                0.42116,                 1.6068,                0.82463,                 1.9848,               0.005248,               0.005248,               0.005248
                     98,                 1.3622,                0.77113,                 1.6164,                0.81107,                0.83946,                0.87253,                0.43056,                 1.6072,                0.78611,                 1.9808,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.3983,                 0.7869,                  1.638,                  0.861,                0.83042,                0.89116,                0.43921,                 1.6129,                0.79159,                 1.9787,               0.005149,               0.005149,               0.005149
                    100,                 1.3801,                0.78333,                 1.6183,                 0.8324,                 0.8501,                0.88001,                0.41503,                  1.657,                0.80686,                 2.0167,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.3748,                0.77241,                 1.6211,                  0.828,                0.81052,                0.83968,                 0.4093,                  1.622,                0.82094,                 1.9962,                0.00505,                0.00505,                0.00505
                    102,                 1.3961,                0.80442,                 1.6524,                0.77657,                0.82951,                0.86014,                0.42112,                  1.615,                0.83102,                 1.9873,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.3754,                0.77879,                 1.6267,                0.84762,                0.83399,                 0.8928,                0.44649,                 1.5908,                0.79353,                 1.9393,               0.004951,               0.004951,               0.004951
                    104,                 1.3731,                0.77495,                 1.6058,                0.87946,                0.84874,                0.91391,                0.45367,                 1.5901,                0.76913,                 1.9663,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.3822,                0.79735,                 1.6306,                0.89442,                0.84144,                0.92018,                0.45347,                 1.6089,                0.75938,                 1.9792,               0.004852,               0.004852,               0.004852
                    106,                 1.3627,                0.78264,                 1.6235,                0.91009,                0.82378,                  0.911,                0.44716,                 1.6102,                0.77158,                 1.9861,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.3662,                0.78453,                 1.6177,                0.87187,                0.85429,                0.91613,                  0.452,                 1.5964,                 0.7573,                 1.9892,               0.004753,               0.004753,               0.004753
                    108,                   1.37,                0.78201,                 1.5989,                0.85742,                0.86101,                0.90604,                0.44296,                 1.6091,                0.77059,                 2.0047,              0.0047035,              0.0047035,              0.0047035
                    109,                  1.367,                0.77382,                 1.6103,                0.84556,                0.86808,                0.91731,                0.45242,                 1.5735,                0.75678,                 1.9643,               0.004654,               0.004654,               0.004654
                    110,                 1.3846,                 0.7876,                 1.6181,                0.81838,                0.85785,                0.87901,                0.42548,                 1.6193,                0.80602,                 2.0038,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.3761,                0.78861,                 1.6358,                0.92984,                0.76963,                0.89598,                0.44668,                 1.5834,                0.75972,                 1.9702,               0.004555,               0.004555,               0.004555
                    112,                 1.3628,                0.77332,                 1.6148,                0.88038,                0.82897,                0.91519,                0.44718,                 1.5973,                0.75229,                 1.9898,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.3529,                 0.7819,                 1.5836,                0.86987,                0.87776,                0.92091,                0.44765,                 1.5994,                0.77797,                 1.9784,               0.004456,               0.004456,               0.004456
                    114,                 1.3516,                0.78443,                 1.6155,                 0.8931,                  0.856,                0.92065,                0.45773,                 1.5891,                0.74728,                 1.9764,              0.0044065,              0.0044065,              0.0044065
